Aal ALE 
Abbild image 
Abbildung illustration 
Abend evening 
Abende evenings 
Abendessen SUPPER 
Abenteuer Adventure 
Aberglaube superstition 
Abfaelle clippings 
Abfahrt departure 
Abfall declension 
Abfindungen gratuities 
Abflussrohr spout 
Abfrage inquiry 
Abgabe tribute 
Abgaben tributes 
Abgeschiedenheit seclusion 
Abgott idol 
Abgruende Abysses 
Abgrund abyss 
Abhaenge declivities 
Abhaengige dependants 
Abhaengiger dependant 
Abhandlung treatise 
Abhandlungen treatises 
Abhang declivity 
Abkommen agreement 
Abkuerzung abbreviation 
Abkuerzungen abbreviations 
Ablage deposit 
Ablagen depositions 
Ablagerung deposit 
Ablagerungen sediments 
Ablaufverfolgung backtrace 
Ablehnung refusals 
Ablehnungshinweis disclaimer 
Ableitung deduction 
Ableitungen derivations 
Abneigung antipathy 
Abneigungen antipathies 
Abnutzung fading 
Abreise departure 
Absatz heel 
Abscheu abhorrence 
Abschied valediction 
Abschnitt chapter 
Abschrift transcript 
Abschriften transcriptions 
Absender sender 
Absetzung degradation 
Absetzungen degradations 
Absicht intention 
Absichten intentions 
Absonderung isolation 
Abspeicherungen savings 
Abstaende distances 
Abstammung ancestory 
Abstammungen lineages 
Abstand displacement 
Abstandsstueck spacer 
Abstieg descend 
Abstiege descents 
Abstimmung ballot 
Abstinenzler teetotaler 
Abstuerze crashes 
Abstufung gradation 
Abstufungen gradations 
Abteil compartment 
Abteilung COMPARTMENT 
Abteilungen compartments 
Abtretung cession 
Abtretungen cessions 
Abtrieb output 
Abtruennige renegades 
Abtruenniger renegade 
Abwaesser sewages 
Abwasser sewage 
Abweichung aberration 
Abweichungen deviations 
Abwertung devaluation 
Abwertungen devaluations 
Abwesenheit absence 
Abwesenheiten absences 
Abwicklung liquidation 
Abzeichen badge 
Abzuege deductions 
Abzug discount 
Achse Axis 
Achsen Axes 
Ackerbau tillage 
Adapter Adapter 
Addition addition 
Adel nobility 
Adler eagle 
Adlige noblemen 
Adliger nobleman 
Adresse Address 
Adressen addresses 
Adressierbarkeit addressability 
Aehnlichkeit likeness 
Aehnlichkeiten resemblances 
Aenderung Modification 
Aenderungen alterations 
